Employee Identifier,Job,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
4053,Firefighter,77396.3,18640.82,5409.35,101446.47,14709.28,15742.33,1694.41,32146.02,133592.49
39839,Firefighter,117156.2,11444.87,15389.51,143990.58,22842.08,16680.76,2444.69,41967.53,185958.11
26574,Firefighter,119258.61,11123.19,16981.56,147363.36,23228.99,16977.02,1660.43,41866.44,189229.8
35177,Firefighter,118184.79,5902.13,21033.72,145120.64,23443.14,16822.68,2415.9,42681.72,187802.36
5580,Firefighter,47016,0,3999.78,51015.78,8962.2,4630.1,873.55,14465.85,65481.63
42143,Firefighter,114949.65,425.3,20926.86,136301.81,22685,16366.8,2177.23,41229.03,177530.84
20724,Firefighter,119258.67,5229.61,19705.2,144193.48,23425.6,16977.02,2374,42776.62,186970.1
18961,Firefighter,107397.47,31247.65,12817.11,151462.23,20818.95,14656.19,2591.11,38066.25,189528.48
14624,Firefighter,119258.64,3448.91,15762.83,138470.38,22774.35,16977.02,2369.49,42120.86,180591.24
14942,Firefighter,82924.41,20321.97,6698.06,109944.44,15839.71,16822.68,1843.56,34505.95,144450.39
25402,Firefighter,69330.7,4229.76,4003.91,77564.37,13128.33,14096.07,2900.81,30125.21,107689.58
41240,Firefighter,111361.39,33295.23,11114.03,155770.65,20602.51,15843.74,2615.58,39061.83,194832.48
23234,Firefighter,119280.06,24624.39,25442.39,169346.84,23425.05,16977.02,2849.03,43251.1,212597.94
36619,Firefighter,70026.57,5631.28,4471.46,80129.31,13266.25,14250.41,3052.02,30568.68,110697.99
2804,Firefighter,84419.58,25195.54,9306.9,118922.02,16507.44,16822.68,1995.16,35325.28,154247.3
16789,Firefighter,81140.89,23507.03,9241.69,113889.61,15921.7,16977.01,1859.52,34758.23,148647.84
32882,Firefighter,118184.79,67233.68,20085.36,205503.83,23212.37,16822.68,3453.04,43488.09,248991.92
15689,Firefighter,7200,0,0,7200,1278,1286.14,558.83,3122.97,10322.97
50173,Firefighter,76579.08,9457.94,5781.94,91818.96,14991.78,16822.68,1516.13,33330.59,125149.55
19410,Firefighter,7200,0,0,7200,1278,1286.14,532.41,3096.55,10296.55
40211,Firefighter,118184.77,102261.85,20881.7,241328.32,23526.4,16822.68,4133.39,44482.47,285810.79
13419,Firefighter,113763.17,62845.65,8105.34,184714.16,21707.24,16977.02,3053.33,41737.59,226451.75
12106,Firefighter,131679.11,136.85,10634.15,142450.11,24838.47,13890.29,2130.35,40859.11,183309.22
26514,Firefighter,107448.42,13573.77,9896.03,130918.22,19888.61,16822.69,2188.71,38900.01,169818.23
42022,Firefighter,133269.2,12521.15,11427.89,157218.24,24989.16,15176.42,2640.59,42806.17,200024.41
2050,Firefighter,47016,10486.55,2820.96,60323.51,8812.11,4630.1,1002.87,14445.08,74768.59
18686,Firefighter,116598.18,0,11150.29,127748.47,22292.93,13800.01,2134.46,38227.4,165975.87
9143,Firefighter,119258.64,11764.51,18868.24,149891.39,23327.04,16977.02,2627.42,42931.48,192822.87
611,Firefighter,113726.13,56921.2,12764.28,183411.61,21146.91,16977.02,3109.96,41233.89,224645.5
51954,Firefighter,119258.61,79588.12,20966.92,219813.65,23523.06,16977.02,3715.89,44215.97,264029.62
40295,Firefighter,81299.34,33445.66,8272.5,123017.5,15949.8,16977.03,2060.12,34986.95,158004.45
31475,Firefighter,119258.63,36528.22,18260.86,174047.71,23425.6,16977.02,3084.33,43486.95,217534.66
4551,Firefighter,60135.04,24973.63,48417.18,133525.85,12152.83,8642.85,2186.21,22981.89,156507.74
5903,Firefighter,119258.63,34772.49,14480.92,168512.04,22400.12,16977.02,2833.93,42211.07,210723.11
48745,Firefighter,70040.36,7316.26,3801.66,81158.28,13266.11,14250.41,3038.59,30555.11,111713.39
32854,Firefighter,119258.64,17013.91,16119.9,152392.45,22774.35,16977.02,2540.69,42292.06,194684.51
21364,Firefighter,77310.41,12806.16,8249.14,98365.71,15189.15,16977.02,1648.66,33814.83,132180.54
30422,Firefighter,77310.42,15992.01,5353.63,98656.06,14758.29,16977.01,1653.56,33388.86,132044.92
8988,Firefighter,118184.78,67031.04,15766.51,200982.33,23263.2,16822.68,3354.95,43440.83,244423.16
1706,Firefighter,119258.61,70822.31,25883.26,215964.18,24519.07,16977.02,3697.88,45193.97,261158.15
1756,Firefighter,83582.07,2506.69,8532.93,94621.69,16397.8,16977.02,1585.56,34960.38,129582.07
24742,Firefighter,83363.25,14764.38,8790.78,106918.41,16354.41,16977.01,1798.51,35129.93,142048.34
33211,Firefighter,113726.14,23471.94,18399.45,155597.53,23572.76,16977.02,2562.55,43112.33,198709.86
18031,Firefighter,90791.95,17869.12,5447.5,114108.57,16902.15,11266.56,1946.9,30115.61,144224.18
54880,Firefighter,113823.96,35106.07,19984.89,168914.92,23630.63,16977.03,2823.54,43431.2,212346.12
35242,Firefighter,77274.92,17528.46,7402.24,102205.62,15163.37,16977.02,1713.4,33853.79,136059.41
30841,Firefighter,119258.65,57048.65,20216.14,196523.44,23538.6,16977.02,3316.49,43832.11,240355.55
43324,Firefighter,118184.77,42225.42,19338.73,179748.92,23209.52,16822.68,2995.41,43027.61,222776.53
56759,Firefighter,138051.1,60472.34,8998.57,207522.01,25548.25,13890.29,3504.38,42942.92,250464.93
42529,Firefighter,119258.61,4992.47,20353.58,144604.66,23497.26,16977.02,2464.47,42938.75,187543.41
40849,Firefighter,118945.44,64287.51,19120.14,202353.09,23265.1,16932,3398.89,43595.99,245949.08
54130,Firefighter,119258.64,79212.66,16497.45,214968.75,22653.09,16977.02,3675.73,43305.84,258274.59
6741,Firefighter,118316.07,22622.48,19828.95,160767.5,23237.09,16840.69,2701.77,42779.55,203547.05
8585,Firefighter,118184.79,6867.53,19924.25,144976.57,23212.36,16822.68,2413.34,42448.38,187424.95
43867,Firefighter,81212.84,7495.77,3641.8,92350.41,15094.38,16977.02,1547.27,33618.67,125969.08
7931,Firefighter,119258.61,53286.96,20384.96,192930.53,23425.61,16977.02,3237.16,43639.79,236570.32
15032,Firefighter,117982.59,5076.59,18656.87,141716.05,23061.64,16771.24,2359.84,42192.72,183908.77
35697,Firefighter,119258.65,10092.71,20741.76,150093.12,23376.32,16977.02,2565.6,42918.94,193012.06
31453,Firefighter,119258.66,23212.02,19944.1,162414.78,23539.29,16977.01,2781.03,43297.33,205712.11
40441,Firefighter,119258.64,38404.62,15673.95,173337.21,22723.36,16977.02,2959.24,42659.62,215996.83
53182,Firefighter,119258.67,32117.73,29075.5,180451.9,25493.97,16977.03,3022.81,45493.81,225945.71
13470,Firefighter,118184.78,1761.1,29033,148978.88,25547.72,16822.68,2482.1,44852.5,193831.38
13911,Firefighter,118184.81,24041.89,16313.08,158539.78,21936.26,16822.68,2646.34,41405.28,199945.06
44194,Firefighter,119280.08,7891.83,22147.48,149319.39,23442.98,16977.02,2546.56,42966.56,192285.95
41494,Firefighter,118184.82,34571.55,20270.71,173027.08,23477.55,16822.68,2895.43,43195.66,216222.74
38991,Firefighter,112942.32,17604.51,12372.41,142919.24,22161.3,16977.03,2348.83,41487.16,184406.4
51759,Firefighter,70322.77,3207.53,4419.77,77950.07,13320.63,14301.85,3035.67,30658.15,108608.22
9692,Firefighter,117335.6,39946.97,11194.82,168477.39,22913.75,16705.27,2761.18,42380.2,210857.59
35327,Firefighter,88107.31,23656.04,11617.44,123380.79,17752.94,17131.36,2070.32,36954.62,160335.41
33912,Firefighter,118184.79,58821.19,20495.19,197501.17,23578.5,16822.68,3336.11,43737.29,241238.46
49180,Firefighter,7200,0,14503.23,21703.23,1292,1286.14,1663.62,4241.76,25944.99
38663,Firefighter,85284.24,19487.78,10500.55,115272.57,17149.26,16977.02,1939.83,36066.11,151338.68
24184,Firefighter,119258.65,5857.57,22905.84,148022.06,24146.6,16977.02,2465.79,43589.41,191611.47
32407,Firefighter,113726.14,58001.26,19530.31,191257.71,23572.76,16977.02,3214.46,43764.24,235021.95
1764,Firefighter,25416,0,0,25416,4607.92,4630.1,1958.28,11196.3,36612.3
31976,Firefighter,119258.64,39465.64,20278.51,179002.79,23478.32,16977.02,3071.91,43527.25,222530.04
22282,Firefighter,83691.48,13459.75,8527.55,105678.78,16419.48,16977.02,1721.11,35117.61,140796.39
54289,Firefighter,81212.88,39204.23,5921.29,126338.4,15432.52,16977.01,2158.61,34568.14,160906.54
4731,Firefighter,113976,42791.46,22230.96,178998.42,22994.04,16225.86,3049.85,42269.75,221268.17
22359,Firefighter,7200,0,0,7200,1278,1286.14,535.84,3099.98,10299.98
5317,Firefighter,78055.56,9500.35,4475.81,92031.72,14868.48,17131.36,1539.43,33539.27,125570.99
40864,Firefighter,119258.64,79030.62,20086.88,218376.14,23425.6,16977.02,3674.35,44076.97,262453.11
12673,Firefighter,106838.63,6807.25,15455.64,129101.52,20812.64,15223.89,2157.94,38194.47,167295.99
11646,Firefighter,108750.45,70197.62,21524.48,200472.55,21742.78,15482.08,3434.44,40659.3,241131.85
40144,Firefighter,94403.28,3887.94,6226.51,104517.73,17584.39,11266.57,1692.62,30543.58,135061.31
32748,Firefighter,83655.03,0,5318.79,88973.82,15961.79,16977.01,1487.9,34426.7,123400.52
51890,Firefighter,40813.66,0,1032.55,41846.21,7454.93,7768.28,2436.4,17659.61,59505.82
9674,Firefighter,61208.88,3543.68,62021.59,126774.15,12585.9,8797.18,2037.56,23420.64,150194.79
12322,Firefighter,119321.25,25226.18,19768.95,164316.38,23875.56,16874.13,2745.56,43495.25,207811.63
11851,Firefighter,107836.31,17834.76,18111.94,143783.01,21558.14,15350.18,2409.82,39318.14,183101.15
47403,Firefighter,119280.07,54040.51,24197.65,197518.23,24325.48,16977.02,3383.71,44686.21,242204.44
10365,Firefighter,119258.63,82011.69,20059.52,221329.84,23425.6,16977.02,3895.92,44298.54,265628.38
5350,Firefighter,120641.59,23925.23,23854.59,168421.41,24582.44,16874.14,2883.74,44340.32,212761.73
2095,Firefighter,113672.9,50506.09,7815.76,171994.75,21648.2,16977.02,2879.34,41504.56,213499.31
48838,Firefighter,119258.66,64520.89,31128.92,214908.47,25312.06,16977.02,3631.85,45920.93,260829.4
46630,Firefighter,81212.82,47040.2,10509.56,138762.58,16159.35,16977.02,2327.12,35463.49,174226.07
14676,Firefighter,113472.31,42614.29,18699.22,174785.82,23520.31,16977.02,2936.8,43434.13,218219.95
7548,Firefighter,119258.63,4159.92,18890.09,142308.64,23314.72,16977.02,2367.49,42659.23,184967.87
45868,Firefighter,119280.04,1523.96,14442.09,135246.09,23166.84,16977.02,761.84,40905.7,176151.79
48753,Firefighter,125084,45836.66,22565.67,193486.33,25524.74,16872.91,3246.13,45643.78,239130.11
7374,Firefighter,82459.28,36296.77,10778.05,129534.1,16557.5,16411.11,2193.17,35161.78,164695.88
19836,Firefighter,124791.58,1997.79,16658.22,143447.59,24089.3,16102.45,2387.74,42579.49,186027.08
